No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
66,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
67,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
68,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
69,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
70,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,-0.000128,0.000128,0.000256
71,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365791,0.000128,,0.000055,7.30E-05,0.000018
72,9.365791,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.365791,9.365864,7.30E-05,,-0.000529,0.000602,0.001131
73,9.365864,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.365864,9.366466,0.000602,,0.000602,0,-0.000602
74,9.366466,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.366466,9.366466,0,,0,0,0
75,9.366466,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.366466,9.366466,0,,0,0,0
76,9.366466,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.366466,9.366466,0,,-0.00012,0.00012,0.00024
77,9.366466,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.366466,9.366586,0.00012,,-0.003807,0.003927,0.007734
78,9.366586,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.366586,9.370513,0.003927,,0.003927,0,-0.003927
79,9.370513,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.370513,9.370513,0,,0,0,0
80,9.370513,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.370513,9.370513,0,,0,0,0
81,9.370513,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.370513,9.370513,0,,-0.00227,0.00227,0.00454
82,9.370513,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.370513,9.372783,0.00227,,0.00227,0,-0.00227
83,9.372783,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.372783,9.372783,0,,0,0,0
84,9.372783,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.372783,9.372783,0,,0,0,0
85,9.372783,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.372783,9.372783,0,,-0.004398,0.004398,0.008796
